SourceType,Dataset,Base Learner Method,Drift Detection Method,Base Ensemble Learner Size,Theta,Sigma
wo,E1_t50.arff,meta.OzaBag,DDM,21,0.97,0.6
wo,E1_t50.arff,meta.OzaBag,HDDM_A_Test,21,0.96,0.6
wo,E1_t50.arff,meta.OzaBoost,DDM,21,0.93,0.3
wo,E1_t50.arff,meta.OzaBoost,HDDM_A_Test,21,0.99,0.2
wo,E1_t500.arff,meta.OzaBag,DDM,22,0.9,0.1
wo,E1_t500.arff,meta.OzaBag,HDDM_A_Test,22,0.91,0.5
wo,E1_t500.arff,meta.OzaBoost,DDM,23,1,0.6
wo,E1_t500.arff,meta.OzaBoost,HDDM_A_Test,23,1,0.6
wo,E1_t5000.arff,meta.OzaBag,DDM,9,0.96,0.2
wo,E1_t5000.arff,meta.OzaBag,HDDM_A_Test,9,0.96,0.2
wo,E1_t5000.arff,meta.OzaBoost,DDM,29,1,0.3
wo,E1_t5000.arff,meta.OzaBoost,HDDM_A_Test,29,1,0.3
wo,E2s_t50.arff,meta.OzaBag,DDM,16,0.91,0.1
wo,E2s_t50.arff,meta.OzaBag,HDDM_A_Test,16,0.96,0.6
wo,E2s_t50.arff,meta.OzaBoost,DDM,28,0.99,0.5
wo,E2s_t50.arff,meta.OzaBoost,HDDM_A_Test,28,0.98,0.5
wo,E2s_t500.arff,meta.OzaBag,DDM,4,0.93,0.2
wo,E2s_t500.arff,meta.OzaBag,HDDM_A_Test,4,0.96,0.1
wo,E2s_t500.arff,meta.OzaBoost,DDM,26,0.92,0.3
wo,E2s_t500.arff,meta.OzaBoost,HDDM_A_Test,26,0.97,0.1
wo,E2s_t5000.arff,meta.OzaBag,DDM,23,1,0.4
wo,E2s_t5000.arff,meta.OzaBag,HDDM_A_Test,23,1,0.4
wo,E2s_t5000.arff,meta.OzaBoost,DDM,21,0.97,0.3
wo,E2s_t5000.arff,meta.OzaBoost,HDDM_A_Test,21,0.99,0.1
wo,E2i_t50.arff,meta.OzaBag,DDM,22,0.95,0.2
wo,E2i_t50.arff,meta.OzaBag,HDDM_A_Test,22,0.98,0.5
wo,E2i_t50.arff,meta.OzaBoost,DDM,11,0.98,0.5
wo,E2i_t50.arff,meta.OzaBoost,HDDM_A_Test,11,1,0.5
wo,E2i_t500.arff,meta.OzaBag,DDM,28,0.96,0.1
wo,E2i_t500.arff,meta.OzaBag,HDDM_A_Test,28,1,0.1
wo,E2i_t500.arff,meta.OzaBoost,DDM,28,0.94,0.1
wo,E2i_t500.arff,meta.OzaBoost,HDDM_A_Test,28,1,0.4
wo,E2i_t5000.arff,meta.OzaBag,DDM,14,0.95,0.3
wo,E2i_t5000.arff,meta.OzaBag,HDDM_A_Test,14,1,0.3
wo,E2i_t5000.arff,meta.OzaBoost,DDM,23,0.97,0.4
wo,E2i_t5000.arff,meta.OzaBoost,HDDM_A_Test,23,1,0.5
wns,E1_t50.arff,meta.OzaBag,DDM,21,0.92,0.6
wns,E1_t50.arff,meta.OzaBag,HDDM_A_Test,21,1,0.2
wns,E1_t50.arff,meta.OzaBoost,DDM,21,0.93,0.8
wns,E1_t50.arff,meta.OzaBoost,HDDM_A_Test,21,0.97,0.9
wns,E1_t500.arff,meta.OzaBag,DDM,22,1,0.1
wns,E1_t500.arff,meta.OzaBag,HDDM_A_Test,22,0.98,0.1
wns,E1_t500.arff,meta.OzaBoost,DDM,23,0.97,0.5
wns,E1_t500.arff,meta.OzaBoost,HDDM_A_Test,23,0.97,0.5
wns,E1_t5000.arff,meta.OzaBag,DDM,9,1,0.4
wns,E1_t5000.arff,meta.OzaBag,HDDM_A_Test,9,1,0.2
wns,E1_t5000.arff,meta.OzaBoost,DDM,29,1,0.7
wns,E1_t5000.arff,meta.OzaBoost,HDDM_A_Test,29,1,0.7
wns,E2s_t50.arff,meta.OzaBag,DDM,16,0.96,0.3
wns,E2s_t50.arff,meta.OzaBag,HDDM_A_Test,16,0.94,0.6
wns,E2s_t50.arff,meta.OzaBoost,DDM,28,0.92,0.6
wns,E2s_t50.arff,meta.OzaBoost,HDDM_A_Test,28,0.95,0.6
wns,E2s_t500.arff,meta.OzaBag,DDM,4,0.99,0.1
wns,E2s_t500.arff,meta.OzaBag,HDDM_A_Test,4,0.9,0.5
wns,E2s_t500.arff,meta.OzaBoost,DDM,26,0.93,0.2
wns,E2s_t500.arff,meta.OzaBoost,HDDM_A_Test,26,0.9,0.1
wns,E2s_t5000.arff,meta.OzaBag,DDM,23,1,0.4
wns,E2s_t5000.arff,meta.OzaBag,HDDM_A_Test,23,1,0.3
wns,E2s_t5000.arff,meta.OzaBoost,DDM,21,0.98,0.4
wns,E2s_t5000.arff,meta.OzaBoost,HDDM_A_Test,21,0.98,0.4
wns,E2i_t50.arff,meta.OzaBag,DDM,22,0.98,0.6
wns,E2i_t50.arff,meta.OzaBag,HDDM_A_Test,22,0.93,0.4
wns,E2i_t50.arff,meta.OzaBoost,DDM,11,0.99,0.1
wns,E2i_t50.arff,meta.OzaBoost,HDDM_A_Test,11,1,0.2
wns,E2i_t500.arff,meta.OzaBag,DDM,28,0.97,0.1
wns,E2i_t500.arff,meta.OzaBag,HDDM_A_Test,28,1,0.4
wns,E2i_t500.arff,meta.OzaBoost,DDM,28,0.94,0.3
wns,E2i_t500.arff,meta.OzaBoost,HDDM_A_Test,28,1,0.5
wns,E2i_t5000.arff,meta.OzaBag,DDM,14,0.95,0.3
wns,E2i_t5000.arff,meta.OzaBag,HDDM_A_Test,14,1,0.1
wns,E2i_t5000.arff,meta.OzaBoost,DDM,23,0.97,0.3
wns,E2i_t5000.arff,meta.OzaBoost,HDDM_A_Test,23,1,0.4
wss,E1_t50.arff,meta.OzaBag,DDM,21,0.91,0.6
wss,E1_t50.arff,meta.OzaBag,HDDM_A_Test,21,0.96,0.8
wss,E1_t50.arff,meta.OzaBoost,DDM,21,0.9,0.2
wss,E1_t50.arff,meta.OzaBoost,HDDM_A_Test,21,0.95,0.4
wss,E1_t500.arff,meta.OzaBag,DDM,22,0.91,0.6
wss,E1_t500.arff,meta.OzaBag,HDDM_A_Test,22,0.91,0.6
wss,E1_t500.arff,meta.OzaBoost,DDM,23,1,0.1
wss,E1_t500.arff,meta.OzaBoost,HDDM_A_Test,23,1,0.1
wss,E1_t5000.arff,meta.OzaBag,DDM,9,1,0.1
wss,E1_t5000.arff,meta.OzaBag,HDDM_A_Test,9,1,0.1
wss,E1_t5000.arff,meta.OzaBoost,DDM,29,1,0.3
wss,E1_t5000.arff,meta.OzaBoost,HDDM_A_Test,29,1,0.3
wss,E2s_t50.arff,meta.OzaBag,DDM,16,0.9,0.7
wss,E2s_t50.arff,meta.OzaBag,HDDM_A_Test,16,0.91,0.7
wss,E2s_t50.arff,meta.OzaBoost,DDM,28,0.93,0.4
wss,E2s_t50.arff,meta.OzaBoost,HDDM_A_Test,28,0.94,0.3
wss,E2s_t500.arff,meta.OzaBag,DDM,4,0.94,0.6
wss,E2s_t500.arff,meta.OzaBag,HDDM_A_Test,4,0.9,0.6
wss,E2s_t500.arff,meta.OzaBoost,DDM,26,0.99,0.1
wss,E2s_t500.arff,meta.OzaBoost,HDDM_A_Test,26,0.95,0.4
wss,E2s_t5000.arff,meta.OzaBag,DDM,23,0.9,0.5
wss,E2s_t5000.arff,meta.OzaBag,HDDM_A_Test,23,1,0.4
wss,E2s_t5000.arff,meta.OzaBoost,DDM,21,0.97,0.1
wss,E2s_t5000.arff,meta.OzaBoost,HDDM_A_Test,21,0.98,0.1
wss,E2i_t50.arff,meta.OzaBag,DDM,22,0.95,0.5
wss,E2i_t50.arff,meta.OzaBag,HDDM_A_Test,22,0.93,0.5
wss,E2i_t50.arff,meta.OzaBoost,DDM,11,0.93,0.6
wss,E2i_t50.arff,meta.OzaBoost,HDDM_A_Test,11,0.95,0.3
wss,E2i_t500.arff,meta.OzaBag,DDM,28,0.96,0.2
wss,E2i_t500.arff,meta.OzaBag,HDDM_A_Test,28,0.97,0.4
wss,E2i_t500.arff,meta.OzaBoost,DDM,28,0.95,0.5
wss,E2i_t500.arff,meta.OzaBoost,HDDM_A_Test,28,0.99,0.3
wss,E2i_t5000.arff,meta.OzaBag,DDM,14,0.98,0.1
wss,E2i_t5000.arff,meta.OzaBag,HDDM_A_Test,14,0.97,0.4
wss,E2i_t5000.arff,meta.OzaBoost,DDM,23,0.98,0.4
wss,E2i_t5000.arff,meta.OzaBoost,HDDM_A_Test,23,1,0.4
wo,holiday.arff,meta.OzaBag,DDM,13,0.9,0.5
wo,holiday.arff,meta.OzaBag,HDDM_A_Test,13,0.9,0.5
wo,holiday.arff,meta.OzaBoost,DDM,17,0.9,0.5
wo,holiday.arff,meta.OzaBoost,HDDM_A_Test,17,0.9,0.5
wo,weekend.arff,meta.OzaBag,DDM,18,0.9,0.5
wo,weekend.arff,meta.OzaBag,HDDM_A_Test,18,0.9,0.4
wo,weekend.arff,meta.OzaBoost,DDM,24,0.9,0.4
wo,weekend.arff,meta.OzaBoost,HDDM_A_Test,24,0.9,0.6
wo,weekday.arff,meta.OzaBag,DDM,28,0.9,0.5
wo,weekday.arff,meta.OzaBag,HDDM_A_Test,28,0.9,0.4
wo,weekday.arff,meta.OzaBoost,DDM,30,0.9,0.6
wo,weekday.arff,meta.OzaBoost,HDDM_A_Test,30,0.9,0.6
ws,holiday.arff,meta.OzaBag,DDM,13,0.9,0.5
ws,holiday.arff,meta.OzaBag,HDDM_A_Test,13,0.9,0.6
ws,holiday.arff,meta.OzaBoost,DDM,17,0.91,0.6
ws,holiday.arff,meta.OzaBoost,HDDM_A_Test,17,0.94,0.6
ws,weekend.arff,meta.OzaBag,DDM,18,0.9,0.5
ws,weekend.arff,meta.OzaBag,HDDM_A_Test,18,0.9,0.6
ws,weekend.arff,meta.OzaBoost,DDM,24,0.99,0.4
ws,weekend.arff,meta.OzaBoost,HDDM_A_Test,24,0.96,0.6
ws,weekday.arff,meta.OzaBag,DDM,28,0.9,0.4
ws,weekday.arff,meta.OzaBag,HDDM_A_Test,28,0.9,0.4
ws,weekday.arff,meta.OzaBoost,DDM,30,0.9,0.2
ws,weekday.arff,meta.OzaBoost,HDDM_A_Test,30,0.9,0.6
